,participant,word,onset,ep_type,last_sound,context
185,2,freaks,fr,none,na,context
186,2,gloves,gl,none,l,passage
187,2,gloves,gl,none,na,context
188,2,grabs,gr,none,d,passage
189,2,grabs,gr,none,na,context
190,2,ground,gr,none,e,passage
191,2,ground,gr,none,na,context
192,2,place,pl,none,u,passage
193,2,place,pl,none,na,context
194,2,please,pl,none,na,passage
195,2,please,pl,none,na,context
196,2,plethora,pl,none,e,passage
197,2,plethora,pl,none,na,context
198,2,quacks,kw,none,d,passage
199,2,quacks,kw,none,na,context
200,2,queen,kw,none,e,passage
201,2,queen,kw,none,na,context
202,2,quickly,kw,none,r,passage
203,2,quickly,kw,none,na,context
204,2,scarlett,sk,prothesis,k,passage
205,2,scarlett,sk,none,na,context
206,2,scoop,sk,none,n,passage
207,2,scoop,sk,none,na,context
208,2,skeptical,sk,none,z,passage
209,2,skeptical,sk,none,na,context
210,2,skin,sk,prothesis,z,passage
211,2,skin,sk,none,na,context
212,2,skip,sk,none,n,passage
213,2,skip,sk,none,na,context
214,2,sleep,sl,none,d,passage
215,2,sleep,sl,none,na,context
216,2,slips,sl,none,u,passage
217,2,slips,sl,none,na,context
218,2,sloth,sl,none,l,passage
219,2,sloth,sl,none,na,context
220,2,slouched,sl,none,z,passage
221,2,slouched,sl,none,na,context
222,2,slow,sl,none,t,passage
223,2,slow,sl,none,na,context
224,2,slugs,sl,none,i,passage
225,2,slugs,sl,none,na,context
226,2,smacked,sm,none,t,passage
227,2,smacked,sm,none,na,context
228,2,small,sm,prothesis,s,passage
229,2,small,sm,none,r,passage
230,2,small,sm,none,na,context
231,2,small,sm,none,na,context
232,2,smelling,sm,none,z,passage
233,2,smelling,sm,none,na,context
234,2,smiles,sm,prothesis,p,passage
235,2,smiles,sm,none,na,context
236,2,smith,sm,none,na,passage
237,2,smith,sm,none,na,context
238,2,smog,sm,none,k,passage
239,2,smog,sm,none,na,context
240,2,snag,sn,prothesis,d,passage
241,2,snag,sn,none,na,context
242,2,snaps,sn,none,n,passage
243,2,snaps,sn,none,na,context
244,2,snatch,sn,none,n,passage
245,2,snatch,sn,none,na,context
246,2,sniffs,sn,none,o,passage
247,2,sniffs,sn,none,na,context
248,2,snips,sn,none,i,passage
249,2,snips,sn,none,na,context
250,2,snoops,sn,none,d,passage
251,2,snoops,sn,none,na,context
252,2,snow,sn,none,e,passage
253,2,snow,sn,none,na,context
254,2,spark,sp,none,g,passage
255,2,spark,sp,none,na,context
256,2,speed,sp,none,l,passage
257,2,speed,sp,none,na,context
258,2,spreading,sp,prothesis,l,passage
259,2,spreading,sp,none,na,context
260,2,start,st,none,d,passage
261,2,start,st,none,na,context
262,2,starts,st,none,s,passage
263,2,starts,st,none,d,passage
264,2,starts,st,none,na,context
265,2,steps,st,none,n,passage
266,2,steps,st,none,na,context
267,2,stop,st,none,t,passage
268,2,stop,st,none,na,context
269,2,swats,sw,none,d,passage
