participant,word,onset,ep_type,has_ep,preceding_v,context,s_initial,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1_acquisition_exposure,PC1_immersion,PC1_self_report,PC1_original,PC2_original
1,small,sm,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,small,sm,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,smelling,sm,"pre-
epenthesis",TRUE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,smelling,sm,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,smiles,sm,"pre-
epenthesis",TRUE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,smiles,sm,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,smith,sm,none,FALSE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,smith,sm,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,smog,sm,"pre-
epenthesis",TRUE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,smog,sm,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
