participant,word,onset,ep_type,has_ep,preceding_v,context,nap_sonority,sonority_delta,s_initial,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1_acquisition_exposure,PC1_immersion,PC1_self_report,PC1_original,PC2_original
1,skin,sk,prothesis,TRUE,FALSE,passage,3,-1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,snag,sn,none,FALSE,FALSE,passage,5,1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,thread,θr,none,FALSE,FALSE,passage,5,2,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,sweeps,sw,none,FALSE,FALSE,passage,6,3,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,please,pl,none,FALSE,FALSE,passage,5,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,floor,fl,none,FALSE,TRUE,passage,5,2,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,thrashing,θr,none,FALSE,FALSE,passage,5,2,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,speed,sp,prothesis,TRUE,FALSE,passage,3,-1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,smiles,sm,none,FALSE,FALSE,passage,5,1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,swoon,sw,none,FALSE,FALSE,passage,6,3,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,slouched,sl,none,FALSE,FALSE,passage,5,2,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,swim,sw,none,FALSE,FALSE,passage,6,3,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,dreaming,dr,none,FALSE,FALSE,passage,3,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,twin,tw,none,FALSE,FALSE,passage,6,4,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,clean,kl,none,FALSE,FALSE,passage,5,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,snips,sn,prothesis,TRUE,TRUE,passage,5,1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,ground,gr,none,FALSE,TRUE,passage,3,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
