Input,Output,Frequency,DEP-[ə]/S_T,C//V,C/V,L-ANCHOR,CONTIGUITY,DEP-[ə]/S_N,DEP-[ə]/S_L,DEP-[ə]/S_W,DEP-[ə]/T_R,COMPLEX
slips,eslips,0,0,0,1,1,0,0,0,0,0,0
sloth,sloth,2,0,1,1,0,0,0,0,0,0,1
sloth,seloth,0,0,0,0,0,1,0,1,0,0,0
sloth,esloth,0,0,0,1,1,0,0,0,0,0,0
slouched,slouched,2,0,1,1,0,0,0,0,0,0,1
slouched,selouched,0,0,0,0,0,1,0,1,0,0,0
slouched,eslouched,0,0,0,1,1,0,0,0,0,0,0
slow,slow,2,0,1,1,0,0,0,0,0,0,1
slow,selow,0,0,0,0,0,1,0,1,0,0,0
slow,eslow,0,0,0,1,1,0,0,0,0,0,0
slugs,slugs,2,0,1,1,0,0,0,0,0,0,1
slugs,selugs,0,0,0,0,0,1,0,1,0,0,0
slugs,eslugs,0,0,0,1,1,0,0,0,0,0,0
smacked,smacked,2,0,1,1,0,0,0,0,0,0,1
smacked,semacked,0,0,0,0,0,1,1,0,0,0,0
smacked,esmacked,0,0,0,1,1,0,0,0,0,0,0
small,small,2,0,1,1,0,0,0,0,0,0,1
small,semall,0,0,0,0,0,1,1,0,0,0,0
small,esmall,0,0,0,1,1,0,0,0,0,0,0
small,small,4,0,1,1,0,0,0,0,0,0,1
small,semall,0,0,0,0,0,1,1,0,0,0,0
small,esmall,0,0,0,1,1,0,0,0,0,0,0
smelling,smelling,2,0,1,1,0,0,0,0,0,0,1
smelling,semelling,0,0,0,0,0,1,1,0,0,0,0
smelling,esmelling,0,0,0,1,1,0,0,0,0,0,0
smiles,smiles,2,0,1,1,0,0,0,0,0,0,1
smiles,semiles,0,0,0,0,0,1,1,0,0,0,0
smiles,esmiles,0,0,0,1,1,0,0,0,0,0,0
smith,smith,2,0,1,1,0,0,0,0,0,0,1
smith,semith,0,0,0,0,0,1,1,0,0,0,0
smith,esmith,0,0,0,1,1,0,0,0,0,0,0
smog,smog,2,0,1,1,0,0,0,0,0,0,1
smog,semog,0,0,0,0,0,1,1,0,0,0,0
smog,esmog,0,0,0,1,1,0,0,0,0,0,0
snag,snag,2,0,1,1,0,0,0,0,0,0,1
snag,senag,0,0,0,0,0,1,1,0,0,0,0
snag,esnag,0,0,0,1,1,0,0,0,0,0,0
snaps,snaps,2,0,1,1,0,0,0,0,0,0,1
snaps,senaps,0,0,0,0,0,1,1,0,0,0,0
snaps,esnaps,0,0,0,1,1,0,0,0,0,0,0
snatch,snatch,2,0,1,1,0,0,0,0,0,0,1
snatch,senatch,0,0,0,0,0,1,1,0,0,0,0
snatch,esnatch,0,0,0,1,1,0,0,0,0,0,0
sniffs,sniffs,2,0,1,1,0,0,0,0,0,0,1
sniffs,seniffs,0,0,0,0,0,1,1,0,0,0,0
sniffs,esniffs,0,0,0,1,1,0,0,0,0,0,0
snips,snips,2,0,1,1,0,0,0,0,0,0,1
snips,senips,0,0,0,0,0,1,1,0,0,0,0
snips,esnips,0,0,0,1,1,0,0,0,0,0,0
snoops,snoops,1,0,1,1,0,0,0,0,0,0,1
snoops,senoops,0,0,0,0,0,1,1,0,0,0,0
snoops,esnoops,1,0,0,1,1,0,0,0,0,0,0
snow,snow,2,0,1,1,0,0,0,0,0,0,1
snow,senow,0,0,0,0,0,1,1,0,0,0,0
snow,esnow,0,0,0,1,1,0,0,0,0,0,0
spark,spark,2,0,1,1,0,0,0,0,0,0,1
spark,separk,0,1,0,0,0,1,0,0,0,0,0
spark,espark,0,0,0,1,1,0,0,0,0,0,0
speed,speed,2,0,1,1,0,0,0,0,0,0,1
speed,sepeed,0,1,0,0,0,1,0,0,0,0,0
speed,espeed,0,0,0,1,1,0,0,0,0,0,0
start,start,4,0,1,1,0,0,0,0,0,0,1
start,setart,0,1,0,0,0,1,0,0,0,0,0
start,estart,0,0,0,1,1,0,0,0,0,0,0
starts,starts,2,0,1,1,0,0,0,0,0,0,1
starts,setarts,0,1,0,0,0,1,0,0,0,0,0
starts,estarts,0,0,0,1,1,0,0,0,0,0,0
steps,steps,2,0,1,1,0,0,0,0,0,0,1
steps,seteps,0,1,0,0,0,1,0,0,0,0,0
steps,esteps,0,0,0,1,1,0,0,0,0,0,0
stop,stop,2,0,1,1,0,0,0,0,0,0,1
stop,setop,0,1,0,0,0,1,0,0,0,0,0
stop,estop,0,0,0,1,1,0,0,0,0,0,0
swats,swats,2,0,1,1,0,0,0,0,0,0,1
swats,sewats,0,0,0,0,0,1,0,0,1,0,0
swats,eswats,0,0,0,1,1,0,0,0,0,0,0
sweeping,sweeping,2,0,1,1,0,0,0,0,0,0,1
sweeping,seweeping,0,0,0,0,0,1,0,0,1,0,0
sweeping,esweeping,0,0,0,1,1,0,0,0,0,0,0
sweeps,sweeps,2,0,1,1,0,0,0,0,0,0,1
sweeps,seweeps,0,0,0,0,0,1,0,0,1,0,0
sweeps,esweeps,0,0,0,1,1,0,0,0,0,0,0
swim,swim,2,0,1,1,0,0,0,0,0,0,1
swim,sewim,0,0,0,0,0,1,0,0,1,0,0
swim,eswim,0,0,0,1,1,0,0,0,0,0,0
swoon,swoon,2,0,1,1,0,0,0,0,0,0,1
