Input,Output,Frequency,DEP-[ə]/S_T,C//V,C/V,L-ANCHOR,CONTIGUITY,DEP-[ə]/S_N,DEP-[ə]/S_L,DEP-[ə]/S_W,DEP-[ə]/T_R,COMPLEX
beautiful,beautiful,0,0,1,1,0,0,0,0,0,0,1
beautiful,beeautiful,1,0,0,0,0,1,0,0,0,1,0
beautiful,ebeautiful,0,0,0,1,1,0,0,0,0,0,0
breeze,breeze,0,1,1,0,0,0,0,0,0,1,0
breeze,bereeze,1,0,0,0,1,0,0,1,0,0,0
breeze,ebreeze,0,0,1,1,0,0,0,0,0,0,0
bring,bring,0,0,1,1,0,0,0,0,0,0,1
bring,bering,1,0,0,0,0,1,0,0,0,1,0
bring,ebring,0,0,0,1,1,0,0,0,0,0,0
brings,brings,1,1,1,0,0,0,0,0,0,1,0
brings,berings,0,0,0,0,1,0,0,1,0,0,0
brings,ebrings,0,0,1,1,0,0,0,0,0,0,0
brother,brother,1,1,1,0,0,0,0,0,0,1,0
brother,berother,0,0,0,0,1,0,0,1,0,0,0
brother,ebrother,0,0,1,1,0,0,0,0,0,0,0
bugle,bugle,0,0,1,1,0,0,0,0,0,0,1
bugle,beugle,0,0,0,0,0,1,0,0,0,1,0
bugle,ebugle,0,0,0,1,1,0,0,0,0,0,0
clean,clean,0,0,1,1,0,0,0,0,0,0,1
clean,celean,1,0,0,0,0,1,0,0,0,1,0
clean,eclean,0,0,0,1,1,0,0,0,0,0,0
creek,creek,1,1,1,0,0,0,0,0,0,1,0
creek,cereek,0,0,0,0,1,0,0,1,0,0,0
creek,ecreek,0,0,1,1,0,0,0,0,0,0,0
cute,cute,1,0,1,1,0,0,0,0,0,0,1
cute,ceyute,0,0,0,0,0,1,0,0,0,1,0
cute,ecute,0,0,0,1,1,0,0,0,0,0,0
dreaming,dreaming,0,0,1,1,0,0,0,0,0,0,1
dreaming,dereaming,1,0,0,0,0,1,0,0,0,1,0
dreaming,edreaming,0,0,0,1,1,0,0,0,0,0,0
drink,drink,0,0,1,1,0,0,0,0,0,0,1
drink,derink,1,0,0,0,0,1,0,0,0,1,0
drink,edrink,0,0,0,1,1,0,0,0,0,0,0
dwarf,dwarf,0,0,1,1,0,0,0,0,0,0,1
dwarf,dewarf,0,0,0,0,0,1,0,0,0,1,0
dwarf,edwarf,0,0,0,1,1,0,0,0,0,0,0
dwayne,dwayne,0,0,1,1,0,0,0,0,0,0,1
dwayne,dewayne,0,0,0,0,0,1,0,0,0,1,0
dwayne,edwayne,0,0,0,1,1,0,0,0,0,0,0
flickering,flickering,0,0,1,1,0,0,0,0,0,0,1
flickering,felickering,1,0,0,0,0,1,0,0,0,1,0
flickering,eflickering,0,0,0,1,1,0,0,0,0,0,0
flock,flock,0,1,1,0,0,0,0,0,0,1,0
flock,felock,1,0,0,0,1,0,0,1,0,0,0
flock,eflock,0,0,1,1,0,0,0,0,0,0,0
floor,floor,0,0,1,1,0,0,0,0,0,0,1
