participant,word ,onset,ep_type,last_sound ,context 
1,smacked ,sm ,none,t,passage 
1,skeptical ,sk ,prothesis ,z,passage 
1,fly ,fl ,none,s,passage 
1,breeze ,br ,none,e,passage 
1,queen ,kw ,none,e,passage 
1,twitches ,tw ,none,n,passage 
1,throttle ,θr,none,z,passage 
1,brings ,br ,none,r,passage 
1,three ,θr,none,m,passage 
1,sleep ,sl ,none,d,passage 
1,scarlett ,sk ,prothesis,k,passage 
1,creek ,kr ,none,r,passage 
1,plethora ,pl ,none,e,passage 
1,snow ,sn ,none,e,passage 
1,smelling ,sm ,prothesis ,z,passage 
1,brother ,br ,none,n,passage 
1,freaks ,fr ,none,i,passage 
1,starts,st,none,d,passage 
1,trot ,tr ,none,na,context 
1,snaps ,sn ,none,na,context 
1,dwayne ,dw ,none,na,context 
1,cute ,kj ,none,na,context 
1,swats ,sw ,none,na,context 
1,gloves ,gl ,none,na,context 
1,smith ,sm ,none,na,context 
1,starts ,st ,none,na,context 
1,steps ,st ,none,na,context 
1,slugs ,sl ,none,na,context 
1,quacks ,kw ,none,na,context 
1,skip ,sk ,none,na,context 
1,flying ,fl ,none,na,context 
1,drink ,dr ,none,na,context 
1,grabs ,gr ,none,na,context 
1,smog ,sm ,none,na,context 
1,beautiful ,bj ,none,na,context 
1,dwarf ,dw ,none,na,context 
1,quickly ,kw ,none,na,context 
1,snoops ,sn ,none,na,context 
1,bring ,br ,none,na,context 
1,start ,st ,none,na,context 
1,flickering ,fl ,none,na,context 
1,spark ,sp ,none,na,context 
1,small ,sm ,none,na,context 
1,scoop ,sk ,none,na,context 
1,skin ,sk ,none,na,context 
1,snag ,sn ,none,na,context 
1,thread ,θr ,none,na,context 
1,sweeps ,sw ,none,na,context 
1,please ,pl ,none,na,context 
1,floor ,fl ,none,na,context 
1,thrashing ,θr,none,na,context 
1,speed ,sp ,none,na,context 
1,smiles ,sm ,none,na,context 
1,swoon ,sw ,none,na,context 
1,slouched ,sl ,none,na,context 
1,swim ,sw ,none,na,context 
1,dreaming ,dr ,none,na,context 
1,twin ,tw ,none,na,context 
1,bugle ,bj ,na,na,context 
1,clean ,kl ,none,na,context 
1,snips ,sn ,none,na,context 
1,ground ,gr ,none,na,context 
1,slips ,sl ,none,na,context 
1,place ,pl ,none,na,context 
1,tweaking ,tw ,none,na,context 
1,sweeping ,sw ,none,na,context 
1,sloth ,sl ,none,na,context 
1,spreading ,sp,none,na,context 
1,sniffs ,sn ,none,na,context 
1,flock ,fl ,none,na,context 
1,snatch ,sn ,none,na,context 
1,small ,sm ,none,na,context 
1,slow ,sl ,none,na,context 
1,stop ,st ,none,na,context 
1,smacked ,sm ,none,na,context 
1,skeptical ,sk ,none,na,context 
1,fly ,fl ,none,na,context 
1,breeze ,br ,none,na,context 
1,queen ,kw ,none,na,context 
1,twitches ,tw ,none,na,context 
1,throttle ,θr,none,na,context 
1,brings ,br ,none,na,context 
1,three ,θr,none,na,context 
1,sleep ,sl ,none,na,context 
1,scarlett ,sk ,none,na,context 
1,creek ,kr ,none,na,context 
1,plethora ,pl ,none,na,context 
1,snow ,sn ,none,na,context 
1,smelling ,sm ,none,na,context 
1,brother ,br ,none,na,context 
1,freaks ,fr ,none,na,context 
1,starts ,st,none,na,context 
2,trot ,tr ,none,z,passage 
2,snaps ,sn ,none,n,passage 
2,dwayne ,dw ,anaptyxis ,na,passage 
2,cute ,kj ,none,e,passage 
2,swats ,sw ,none,d,passage 
2,gloves ,gl ,none,l,passage 
2,smith ,sm ,none,na,passage 
2,starts ,st ,none,s,passage 
2,steps ,st ,none,n,passage 
2,slugs ,sl ,none,i,passage 
2,quacks ,kw ,none,d,passage 
2,skip ,sk ,none,n,passage 
2,flying ,fl ,none,s,passage 
2,drink ,dr ,none,i,passage 
2,grabs ,gr ,none,d,passage 
2,smog ,sm ,none,k,passage 
2,beautiful ,bj ,none,r,passage 
2,dwarf ,dw ,none,e,passage 
2,quickly ,kw ,none,r,passage 
2,snoops ,sn ,none,d,passage 
2,bring ,br ,none,r,passage 
2,start ,st ,prothesis,d,passage 
2,flickering ,fl ,none,t,passage 
2,spark ,sp ,none,g,passage 
2,small ,sm ,none,s,passage 
2,scoop ,sk ,none,n,passage 
2,skin ,sk ,prothesis,z,passage 
2,snag ,sn ,prothesis,d,passage 
2,thread ,θr ,none,r,passage 
2,sweeps ,sw ,none,d,passage 
2,please ,pl ,none,na,passage 
2,floor ,fl ,none,i,passage 
2,thrashing ,θr,none,z,passage 
2,speed ,sp ,none,l,passage 
2,smiles ,sm ,prothesis ,p,passage 
2,swoon ,sw ,none,n,passage 
2,slouched ,sl ,none,z,passage 
2,swim ,sw ,none,d,passage 
2,dreaming ,dr ,none,p,passage 
2,twin ,tw ,none,r,passage 
2,bugle ,bj ,none,f,passage 
2,clean ,kl ,none,n,passage 
2,snips ,sn ,none,i,passage 
2,ground ,gr ,none,e,passage 
2,slips ,sl ,none,u,passage 
2,place ,pl ,none,u,passage 
2,tweaking ,tw ,none,n,passage 
2,sweeping ,sw ,none,z,passage 
2,sloth ,sl ,none,l,passage 
2,spreading ,sp,prothesis,l,passage 
2,sniffs ,sn ,none,o,passage 
2,flock ,fl ,none,e,passage 
2,snatch ,sn ,none,n,passage 
2,small ,sm ,none,r,passage 
2,slow ,sl ,none,t,passage 
2,stop ,st ,none,t,passage 
2,smacked ,sm ,none,t,passage 
2,skeptical ,sk ,none,z,passage 
2,fly ,fl ,none,s,passage 
2,breeze ,br ,none,e,passage 
2,queen ,kw ,none,e,passage 
2,twitches ,tw ,none,n,passage 
2,throttle ,θr,none,z,passage 
2,brings ,br ,none,r,passage 
2,three ,θr,none,m,passage 
2,sleep ,sl ,none,d,passage 
2,scarlett ,sk ,prothesis,k,passage 
2,creek ,kr ,none,r,passage 
2,plethora ,pl ,none,e,passage 
2,snow ,sn ,none,e,passage 
2,smelling ,sm ,none,z,passage 
2,brother ,br ,none,n,passage 
