participant,SyllableContact_4,SyllableContact_3,SyllableContact_2,SyllableContact_1,SyllableContact_-1,*Complex,*Dep,Contiguity,loglik,k,n
gc_global.csv,15.7389341555939,4.51847855757782,1.59208354808104,0.344522690690353,0,1.46074057013723,2.54835781913251,1.26546291735924,-1089.33917600423,8,2147
gc_p1.csv,17.8981418642782,18.6909197432989,2.09894330843447,0.785250001426732,0,12.8592020556742,14.1868087747267,3.57003423763542,-32.1672631989232,8,144
gc_p10.csv,7.33333333333333,13.3333333333333,10.6666666666667,9.33333333333333,18.6666666666667,0,97.3333333333333,48.6666666666666,0,8,146
gc_p13.csv,7.33333333333333,13.3333333333333,10.6666666666667,9.33333333333333,18.6666666666667,0,97.3333333333333,48.6666666666666,0,8,146
gc_p14.csv,59.8311516220935,14.7932864054106,16.8215010754275,24.6314336775835,0,23.5910600226866,25.9889233494452,33.2115897145584,-3.44203255307966,8,72
gc_p15.csv,14.412620426576,15.5905363517083,0.969631816590223,0.167435490882957,0,0,2.37570139382952,1.43100958637608,-32.9264062444846,8,143
gc_p16.csv,43.4322839609854,15.2813381348886,21.6051479891322,0.845897236949247,12.4814454880098,34.2959433192493,36.0149765291378,27.8399902644724,-7.20493992456612,8,137
gc_p17.csv,19.7054898301975,20.8002248097368,20.5392734585093,2.40850952113377,0,26.5699613996638,27.4349796711129,2.92672367219832,-33.2102185343855,8,144
gc_p18.csv,16.4337409927857,18.3218673272904,0.310208707721055,0.167147013312965,0,0.00242365673652592,2.35638572562518,0.752125619477845,-46.3391679724985,8,146
gc_p19.csv,17.6353498690457,20.9118450516283,19.4712576103762,1.81711838562937,0,11.7329213368643,11.8393553314159,0,-56.485261780238,8,71
gc_p2.csv,18.699820702049,19.6236053887839,19.4926927416934,0.955450794960435,0,17.8382998683896,19.433441272534,2.63893554210632,-28.5010272958354,8,146
gc_p20.csv,16.7166234544357,22.5543634423976,0.99289109168308,0.346318692007861,0,9.24837530265486,9.71441184034436,0,-59.3636320936105,8,68
gc_p21.csv,95.3272340147038,63.5556106393887,41.6293353880165,0,21.2331893311117,69.1578868655716,5.19676764189658,41.1185010868543,-18.4937584693126,8,70
gc_p3.csv,7.33333333333333,13.3333333333333,10.6666666666667,9.33333333333333,18.6666666666667,0,97.3333333333333,48.6666666666666,0,8,146
gc_p4.csv,65.4095672517353,36.8430240937159,47.4548793662619,27.6992237087762,26.801252076206,24.4123174154462,0,29.1128841084835,-16.903365307398,8,145
gc_p5.csv,3.66666666666667,6.66666666666666,5.33333333333333,4.66666666666667,9.33333333333333,0,48.6666666666666,24.3333333333333,0,8,73
gc_p6.csv,39.4549283966118,19.563804922726,19.2233264927225,19.1433236823391,16.3219446884933,16.7353172038098,0.00664770258938555,19.3490368076801,-30.1631668169009,8,66
gc_p7.csv,44.3470122473125,57.8378863731074,21.9711791995247,19.3909299870679,1.81371808185812,43.0909234981439,20.1855091084947,21.3793962826923,-38.3778937268552,8,71
gc_p8.csv,78.2447894159339,79.4403364554538,40.9443994149371,0,18.7324006498099,78.8558294092332,20.8939758814469,40.4334968343747,-17.6076663046139,8,70
gc_p9.csv,22.0460035794687,24.1791472807132,4.20557079132495,1.82439462014767,1.56636750462057,11.4790252022846,9.21936615626403,26.140130986905,-46.0932367637534,8,143
