Input ,Output ,Frequency ,DEP-[ə]/S_T,C//V,C/V,L-ANCHOR,CONTIGUITY,DEP-[ə]/S_N,DEP-[ə]/S_L,DEP-[ə]/S_W,DEP-[ə]/T_R,COMP-S,COMP-T
clean ,eclean ,12,,,1,1,,,,,,,
snips ,snips ,25,,1,1,,,,,,,1,
snips ,senips ,0,,,,,1,1,,,,,
snips ,esnips ,5,,,1,1,,,,,,,
ground ,ground ,25,,1,1,,,,,,,,1
ground ,geround ,0,,,,,1,,,,1,,
ground ,eground ,5,,,1,1,,,,,,,
slips ,slips ,24,,1,1,,,,,,,1,
slips ,selips ,0,,,,,1,,1,,,,
slips ,eslips ,5,,,1,1,,,,,,,
place ,place ,27,1,1,,,,,,,1,,1
place ,pelace ,0,,,,1,,,1,,,,
place ,eplace ,3,,1,1,,,,,,,,
tweaking ,tweaking ,25,1,1,,,,,,,1,,1
tweaking ,teweaking ,0,,,,1,,,1,,,,
tweaking ,etweaking ,5,,1,1,,,,,,,,
sweeping ,sweeping ,24,,1,1,,,,,,,1,
sweeping ,seweeping ,1,,,,,1,,,1,,,
sweeping ,esweeping ,5,,,1,1,,,,,,,
sloth ,sloth ,25,,1,1,,,,,,,1,
sloth ,seloth ,0,,,,,1,,1,,,,
sloth ,esloth ,4,,,1,1,,,,,,,
sniffs ,sniffs ,23,,1,1,,,,,,,1,
sniffs ,seniffs ,0,,,,,1,1,,,,,
sniffs ,esniffs ,7,,,1,1,,,,,,,
flock ,flock ,25,1,1,,,,,,,1,,1
flock ,felock ,0,,,,1,,,1,,,,
flock ,eflock ,5,,1,1,,,,,,,,
snatch ,snatch ,24,,1,1,,,,,,,1,
snatch ,senatch ,0,,,,,1,1,,,,,
snatch ,esnatch ,6,,,1,1,,,,,,,
small ,small ,26,,1,1,,,,,,,1,
small ,semall ,0,,,,,1,1,,,,,
small ,esmall ,4,,,1,1,,,,,,,
slow ,slow ,24,,1,1,,,,,,,1,
slow ,selow ,0,,,,,1,,1,,,,
slow ,eslow ,6,,,1,1,,,,,,,
stop ,stop ,22,,1,1,,,,,,,1,
stop,setop ,0,1,,,,1,,,,,,
stop ,estop ,8,,,1,1,,,,,,,
smacked ,smacked ,40,,1,1,,,,,,,1,
smacked ,semacked ,0,,,,,1,1,,,,,
smacked ,esmacked ,11,,,1,1,,,,,,,
