participant,word,onset,ep_type,has_ep,preceding_v,context,nap_sonority,sonority_delta,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1,PC2
1,skip,sk,none,FALSE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,flying,fl,none,FALSE,FALSE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,drink,dr,none,FALSE,TRUE,passage,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,grabs,gr,none,FALSE,FALSE,passage,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,smog,sm,none,FALSE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,beautiful,bj,none,FALSE,FALSE,passage,4,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,dwarf,dw,none,FALSE,TRUE,passage,4,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,quickly,kw,none,FALSE,FALSE,passage,6,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,snoops,sn,none,FALSE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,bring,br,none,FALSE,FALSE,passage,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
