participant,DEP-[ə]/S_T,C//V,C/V,L-ANCHOR,CONTIGUITY,DEP-[ə]/S_N,DEP-[ə]/S_L,DEP-[ə]/S_W,DEP-[ə]/T_R,COMPLEX,loglik,k,n
fh_global.csv,18.1990478706793,4.12348483710601,24.1314378231532,8.58169671309729,32.2118243671808,16.4915062054898,15.6329609243653,0.624004052841846,0.0575227744039451,2.43904044481377,-1075.34828153628,10,2147
fh_p1.csv,19.6901601382304,0.147050188915686,43.8201169582655,2.74251075724498,47.1748238455895,17.481548208325,40.1439079230012,17.5281777720293,0.553685802427417,0.12925999862511,-36.2932988736909,10,144
fh_p10.csv,0,0,23.4527780185453,60.6628213874777,49.0993103570742,11.6339660298357,16.6199510659338,4.15515590549909,0,0,-2.32289298913203e-9,10,146
fh_p13.csv,0,0,23.4527780185453,60.6628213874777,49.0993103570742,11.6339660298357,16.6199510659338,4.15515590549909,0,0,-2.32289298913203e-9,10,146
fh_p14.csv,0.0356535468572186,0.542897652719942,35.8257884353539,5.59741568060026,59.0221752178051,3.34102042958158,51.4144624653235,2.61546457169666,0.0554120028228879,1.0114851250626,-5.05177235795842,10,72
fh_p15.csv,36.9890726254412,0.187271584941745,89.8858861811471,5.06289820217302,94.3615741283184,47.2547418813007,49.0374729863356,44.8709343607134,0.0506858697072708,1.79368313762444,-31.4031055605,10,143
fh_p16.csv,0,0.776064809723149,14.8324363608292,6.33797274707192,32.8714398915326,5.30099559294625,7.73312017394542,2.17382858230898,0,1.58228879913041,-9.97800593033774,10,137
fh_p17.csv,27.8610666742131,6.8961122928805e-4,80.1217627854832,20.3495078999425,100,36.6147207464528,11.618611910134,32.8090559083178,0.810382237565923,17.7648529314699,-41.3213413154226,10,144
fh_p18.csv,17.9973529871069,0.973581641029631,38.2680245359198,4.75125922186219,41.1149841141807,24.5730543220869,38.2245174971854,1.17402111921504,1.03150935677811,0.905952915836088,-42.2258531957805,10,146
fh_p19.csv,32.6068866065606,1.49448625065642,52.6719775919008,5.1176567295583,49.5130074388053,45.8065402802174,29.6910704876002,3.3640404416468,2.49910903326704,0.126641490975052,-19.3594851815464,10,71
fh_p2.csv,46.6219337592073,0.00314085815084673,92.5819448442536,7.34965488592935,100,42.8280183292124,56.5372388271209,43.6122669619958,0.0142967927950756,4.43779209317539,-31.7489915842395,10,146
fh_p20.csv,23.4084140600381,4.30165500617822,41.5318407404742,6.30844487644353,44.4231815399449,46.896972496302,22.0661890214427,1.31974411580125,0.952224499124945,0.518678520900765,-42.928513878258,10,68
fh_p21.csv,53.430233269573,0.0732707814138784,45.0987194706719,0.0334969497549336,39.4723216926838,55.0915904349409,25.4154939925695,4.21647270298298,3.81097658984946,2.79344958073394,-18.8385844361011,10,70
fh_p3.csv,0,0,23.4527780185453,60.6628213874777,49.0993103570742,11.6339660298357,16.6199510659338,4.15515590549909,0,0,-2.32289298913203e-9,10,146
fh_p4.csv,4.14274241879017,0.316048411849408,24.2352539635261,4.89275222552858,42.3618021725524,3.94359724103274,2.94196087055674,2.77643001603829,0.0800779588132317,0.939009664651174,-18.2660232837603,10,145
fh_p5.csv,0,0,23.8918265955052,39.9643543883326,47.9229543968884,7.67527489043149,10.9494624466249,2.95034766608235,0.10043534568575,0,-1.82820913966679e-9,10,73
fh_p6.csv,20.9273195675625,12.3955976530518,66.5954840172268,14.3814960855588,81.1151071076559,27.5829835168244,21.7990478016469,16.3927265984524,0.372720897889039,0.574918124905151,-35.159682902062,10,66
fh_p7.csv,19.4814502640272,2.75008374875439,20.8176829824546,4.05405497091492,22.9504859664706,31.7064781816657,17.2117995338442,2.03054338159821,0.238499001096849,2.36870550104433,-46.1996974151771,10,71
fh_p8.csv,21.5738226837168,4.31187216423952,38.9786943881786,2.97409308985192,39.9255978019967,48.7099212658193,21.2498986874999,32.970582195303,0.130062237831312,0.0485328753527591,-34.0448096966227,10,70
fh_p9.csv,0.0285800870107075,2.79876102058743,45.123786139406,8.87116656240929,67.542742137461,15.4520096935701,24.2337050950655,5.61743100869762,0.0432316049490498,5.32660182169633,-72.2399698484238,10,143
