participant,*Complex,*Dep,SyllableContact,Contiguity,loglik,k,n
gs_global.csv,0.114995713632669,1.20279773521023,1.5969701526499,1.26524464243959,-1172.27303152015,4,2147
gs_p1.csv,1.71541380691303,3.04297803082736,2.03229261465779,3.57029039841801,-35.7206931789609,4,144
gs_p10.csv,0,97.3333333333333,40.6666666666667,48.6666666666666,0,4,146
gs_p13.csv,0,97.3333333333333,40.6666666666667,48.6666666666666,0,4,146
gs_p14.csv,8.46088591519571,10.858781604792,16.5549388384671,19.8659252846734,-3.44203216428977,4,72
gs_p15.csv,0.268322384701332,2.64423736674085,1.25708389528369,1.43074674732459,-35.3405368357818,4,143
gs_p16.csv,8.06043923676471,12.2725679521493,0,13.5697536097137,-10.4389999453212,4,137
gs_p17.csv,2.27472869263439,3.13974253938304,3.89176992998347,2.92672910140395,-34.6794010314746,4,144
gs_p18.csv,1.14583526559641e-4,2.35416998887156,0.98654744494295,0.752036584841145,-49.2575170780042,4,146
gs_p19.csv,0.799231597456504,0.905683117273522,3.32974124578563,0,-57.9687652136122,4,71
gs_p2.csv,1.92477539030593,3.51981635259868,2.48491082264482,2.63907243356965,-31.5013692279505,4,146
gs_p20.csv,0.313924592597976,0.779944438017859,1.40779220923283,0,-63.0942252079897,4,68
gs_p21.csv,14.911178818849,0.369492630936494,12.1899437662223,11.6791626970342,-45.747354456456,4,70
gs_p3.csv,0,97.3333333333333,40.6666666666667,48.6666666666666,0,4,146
gs_p4.csv,8.47466641133972,10.8654842840552,2.38963517982333,2.5579616595696,-18.6280081134537,4,145
gs_p5.csv,0,48.6666666666666,20.3333333333333,24.3333333333333,0,4,73
gs_p6.csv,1.64092170313932,1.24939108794276,3.1696852333379,3.26321082416184,-31.4348999683304,4,66
gs_p7.csv,23.1303724669309,3.53284766617374,19.3292451004198,18.7951852436336,-61.4141617471343,4,71
gs_p8.csv,21.0459918491844,0.304779700465606,20.0479157861173,19.7114653138208,-59.2634720504038,4,70
gs_p9.csv,5.19753446700324,4.50443866770791,2.23351152286375,21.0529352932433,-70.730251784366,4,143
