speaker,ep_type,onset,sonority delta ,word,last sound ,age of English onset ,length of English residence ,age ,gender ,additonal language ,notes 
farsi 29 ,none,sn,1,snack ,[ə],10,6,25,f,none,
farsi 29 ,none,br,3,brother,[ɚ],10,6,25,f,none,
farsi 29 ,none,sm,1,small,[ə],10,6,25,f,none,
farsi 29 ,none,pl,3,plastic ,[l],10,6,25,f,none,
farsi 29 ,none,sn,1,snake,[k],10,6,25,f,none,
farsi 29 ,none,fr,2,frog ,[ɔɪ],10,6,25,f,none,
farsi 29 ,prothesis,sc,-1,scoop,[n],10,6,25,f,none,
farsi 29 ,none,θr,2,three ,[u],10,6,25,f,none,[θri] pronounced as [tri]
farsi 29 ,none,tr,3,train,[ə],10,6,25,f,none,
farsi 29 ,none,st,-1,station,[n] ,10,6,25,f,none,
farsi 31 ,anaptyxis ,pl,3,please,none,27,1,28,f,none,
farsi 31 ,prothesis ,st,-1,stella ,[l],27,1,28,f,none,
farsi 31 ,none,br,3,bring,[u],27,1,28,f,none,
farsi 31 ,prothesis ,st,-1,store,[ə],27,1,28,f,none,
farsi 31 ,prothesis ,sp,-1,spoons,[s],27,1,28,f,none,
farsi 31 ,none,fr,2,fresh,[v],27,1,28,f,none,
farsi 31 ,prothesis ,sn,1,snow ,[ʃ],27,1,28,f,none,
farsi 31 ,prothesis ,sl,2,slabs,[k],27,1,28,f,none,
farsi 31 ,anaptyxis ,bl,3,blue,[v],27,1,28,f,none,
farsi 31 ,prothesis ,sn,1,snack ,[ə],27,1,28,f,none,
farsi 31 ,none,br,3,brother,[ɚ],27,1,28,f,none,
farsi 31 ,prothesis ,sm,1,small,[ə],27,1,28,f,none,
farsi 31 ,none,pl,3,plastic ,[l],27,1,28,f,none,
farsi 31 ,prothesis ,sn,1,snake,[k],27,1,28,f,none,
farsi 31 ,none,fr,2,frog ,[ɔɪ],27,1,28,f,none,
farsi 31 ,prothesis ,sc,-1,scoop,[n],27,1,28,f,none,
farsi 31 ,none,θr,2,three ,[u],27,1,28,f,none,[θri] pronounced as [tri]
farsi 31 ,none,tr,3,train,[ə],27,1,28,f,none,
farsi 31 ,prothesis ,st,-1,station,[n] ,27,1,28,f,none,
farsi 32,anaptyxis ,pl,3,please,none,14,3,27,m,none,
farsi 32,prothesis ,st,-1,stella ,[l],14,3,27,m,none,
farsi 32,anaptyxis ,br,3,bring,[u],14,3,27,m,none,
farsi 32,none,st,-1,store,[ə],14,3,27,m,none,
farsi 32,prothesis ,sp,-1,spoons,[s],14,3,27,m,none,
farsi 32,none,fr,2,fresh,[v],14,3,27,m,none,
farsi 32,prothesis ,sn,1,snow ,[ʃ],14,3,27,m,none,
farsi 32,prothesis ,sl,2,slabs,[k],14,3,27,m,none,
farsi 32,anaptyxis ,bl,3,blue,[v],14,3,27,m,none,
farsi 32,none,sn,1,snack ,[ə],14,3,27,m,none,
farsi 32,none,br,3,brother,[ɚ],14,3,27,m,none,
farsi 32,none,sm,1,small,[ə],14,3,27,m,none,
farsi 32,anaptyxis,pl,3,plastic ,[l],14,3,27,m,none,
farsi 32,prothesis ,sn,1,snake,[k],14,3,27,m,none,
farsi 32,none,fr,2,frog ,[ɔɪ],14,3,27,m,none,
farsi 32,prothesis ,sc,-1,scoop,[n],14,3,27,m,none,
farsi 32,none,θr,2,three ,[u],14,3,27,m,none,[θri] pronounced as [tri]
farsi 32,none,tr,3,train,[ə],14,3,27,m,none,
farsi 32,prothesis ,st,-1,station,[n] ,14,3,27,m,none,
farsi 33 ,none,pl,3,please,none,14,9,21,f,none,
farsi 33 ,none,st,-1,stella ,[l],14,9,21,f,none,
farsi 33 ,none,br,3,bring,[u],14,9,21,f,none,
farsi 33 ,none,st,-1,store,[ə],14,9,21,f,none,
farsi 33 ,none,sp,-1,spoons,[s],14,9,21,f,none,
farsi 33 ,none,fr,2,fresh,[v],14,9,21,f,none,
farsi 33 ,none,sn,1,snow ,[ʃ],14,9,21,f,none,
farsi 33 ,none,sl,2,slabs,[k],14,9,21,f,none,
farsi 33 ,none,bl,3,blue,[v],14,9,21,f,none,
farsi 33 ,none,sn,1,snack ,[ə],14,9,21,f,none,
farsi 33 ,none,br,3,brother,[ɚ],14,9,21,f,none,
farsi 33 ,none,sm,1,small,[ə],14,9,21,f,none,
farsi 33 ,none,pl,3,plastic ,[l],14,9,21,f,none,
farsi 33 ,none,sn,1,snake,[k],14,9,21,f,none,
farsi 33 ,none,fr,2,frog ,[ɔɪ],14,9,21,f,none,
farsi 33 ,none,sc,-1,scoop,[n],14,9,21,f,none,
farsi 33 ,none,θr,2,three ,[u],14,9,21,f,none,
farsi 33 ,none,tr,3,train,[ə],14,9,21,f,none,
farsi 33 ,none,st,-1,station,[n] ,14,9,21,f,none,
farsi 34 ,none,pl,3,please,none,43,10,53,f,Turkish ,
farsi 34 ,prothesis ,st,-1,stella ,[l],43,10,53,f,Turkish ,
farsi 34 ,none,br,3,bring,[u],43,10,53,f,Turkish ,
farsi 34 ,none,st,-1,store,[ə],43,10,53,f,Turkish ,
farsi 34 ,prothesis ,sp,-1,spoons,[s],43,10,53,f,Turkish ,
farsi 34 ,none,fr,2,fresh,[v],43,10,53,f,Turkish ,
farsi 34 ,prothesis ,sn,1,snow ,[ʃ],43,10,53,f,Turkish ,
farsi 34 ,none,sl,2,slabs,[k],43,10,53,f,Turkish ,
farsi 34 ,anaptyxis ,bl,3,blue,[v],43,10,53,f,Turkish ,
farsi 34 ,none,sn,1,snack ,[ə],43,10,53,f,Turkish ,
farsi 34 ,none,br,3,brother,[ɚ],43,10,53,f,Turkish ,
farsi 34 ,none,sm,1,small,[ə],43,10,53,f,Turkish ,
farsi 34 ,none,pl,3,plastic ,[l],43,10,53,f,Turkish ,
farsi 34 ,none,sn,1,snake,[k],43,10,53,f,Turkish ,
farsi 34 ,none,fr,2,frog ,[ɔɪ],43,10,53,f,Turkish ,
farsi 34 ,none,sc,-1,scoop,[n],43,10,53,f,Turkish ,
farsi 34 ,none,θr,2,three ,[u],43,10,53,f,Turkish ,
farsi 34 ,none,tr,3,train,[ə],43,10,53,f,Turkish ,
farsi 34 ,none,st,-1,station,[n] ,43,10,53,f,Turkish ,
farsi 35,none,pl,3,please,none,12,20,52,f,Arabic ,
farsi 35,prothesis ,st,-1,stella ,[l],12,20,52,f,Arabic ,
farsi 35,none,br,3,bring,[u],12,20,52,f,Arabic ,
farsi 35,none,st,-1,store,[ə],12,20,52,f,Arabic ,
farsi 35,prothesis ,sp,-1,spoons,[s],12,20,52,f,Arabic ,
farsi 35,none,fr,2,fresh,[v],12,20,52,f,Arabic ,
farsi 35,prothesis ,sn,1,snow ,[ʃ],12,20,52,f,Arabic ,
farsi 35,none,sl,2,slabs,[k],12,20,52,f,Arabic ,
farsi 35,none,bl,3,blue,[v],12,20,52,f,Arabic ,
farsi 35,none,sn,1,snack ,[ə],12,20,52,f,Arabic ,
farsi 35,none,br,3,brother,[ɚ],12,20,52,f,Arabic ,
farsi 35,none,sm,1,small,[ə],12,20,52,f,Arabic ,
farsi 35,none,pl,3,plastic ,[l],12,20,52,f,Arabic ,
farsi 35,none,sn,1,snake,[k],12,20,52,f,Arabic ,
farsi 35,none,fr,2,frog ,[ɔɪ],12,20,52,f,Arabic ,
farsi 35,none,sc,-1,scoop,[n],12,20,52,f,Arabic ,
farsi 35,none,θr,2,three ,[u],12,20,52,f,Arabic ,[θri] pronounced as [tri]
farsi 35,none,tr,3,train,[ə],12,20,52,f,Arabic ,
farsi 35,prothesis ,st,-1,station,[n] ,12,20,52,f,Arabic ,
farsi 36 ,none,pl,3,please,none,13,21,53,f,none,
farsi 36 ,prothesis ,st,-1,stella ,[l],13,21,53,f,none,
farsi 36 ,none,br,3,bring,[u],13,21,53,f,none,
farsi 36 ,none,st,-1,store,[ə],13,21,53,f,none,
farsi 36 ,prothesis ,sp,-1,spoons,[s],13,21,53,f,none,
farsi 36 ,none,fr,2,fresh,[v],13,21,53,f,none,
farsi 36 ,prothesis,sn,1,snow ,[ʃ],13,21,53,f,none,
farsi 36 ,none,sl,2,slabs,[k],13,21,53,f,none,
farsi 36 ,none,bl,3,blue,[v],13,21,53,f,none,
farsi 36 ,none,sn,1,snack ,[ə],13,21,53,f,none,
farsi 36 ,none,br,3,brother,[ɚ],13,21,53,f,none,
farsi 36 ,none,sm,1,small,[ə],13,21,53,f,none,
farsi 36 ,none,pl,3,plastic ,[l],13,21,53,f,none,
farsi 36 ,none,sn,1,snake,[k],13,21,53,f,none,
farsi 36 ,none,fr,2,frog ,[ɔɪ],13,21,53,f,none,
farsi 36 ,none,sc,-1,scoop,[n],13,21,53,f,none,
farsi 36 ,none,θr,2,three ,[u],13,21,53,f,none,[θri] pronounced as [tri]
farsi 36 ,none,tr,3,train,[ə],13,21,53,f,none,
farsi 36 ,none,st,-1,station,[n] ,13,21,53,f,none,
farsi 38 ,none,pl,3,please,none,19,22,48,f,none,
farsi 38 ,none,st,-1,stella ,[l],19,22,48,f,none,
farsi 38 ,none,br,3,bring,[u],19,22,48,f,none,
farsi 38 ,none,st,-1,store,[ə],19,22,48,f,none,
farsi 38 ,prothesis ,sp,-1,spoons,[s],19,22,48,f,none,
farsi 38 ,none,fr,2,fresh,[v],19,22,48,f,none,
farsi 38 ,none,sn,1,snow ,[ʃ],19,22,48,f,none,
farsi 38 ,none,sl,2,slabs,[k],19,22,48,f,none,
farsi 38 ,none,bl,3,blue,[v],19,22,48,f,none,
farsi 38 ,none,sn,1,snack ,[ə],19,22,48,f,none,
farsi 38 ,none,br,3,brother,[ɚ],19,22,48,f,none,
farsi 38 ,none,sm,1,small,[ə],19,22,48,f,none,
farsi 38 ,none,pl,3,plastic ,[l],19,22,48,f,none,
farsi 38 ,none,sn,1,snake,[k],19,22,48,f,none,
farsi 38 ,none,fr,2,frog ,[ɔɪ],19,22,48,f,none,
farsi 38 ,none,sc,-1,scoop,[n],19,22,48,f,none,
farsi 38 ,none,θr,2,three ,[u],19,22,48,f,none,
farsi 38 ,none,tr,3,train,[ə],19,22,48,f,none,
farsi 38 ,none,st,-1,station,[n] ,19,22,48,f,none,
farsi 39 ,none,pl,3,please,none,9,9,27,f,Korean ,
farsi 39 ,prothesis ,st,-1,stella ,[l],9,9,27,f,Korean ,
farsi 39 ,none,br,3,bring,[u],9,9,27,f,Korean ,
farsi 39 ,none,st,-1,store,[ə],9,9,27,f,Korean ,
farsi 39 ,prothesis ,sp,-1,spoons,[s],9,9,27,f,Korean ,
farsi 39 ,none,fr,2,fresh,[v],9,9,27,f,Korean ,
farsi 39 ,prothesis ,sn,1,snow ,[ʃ],9,9,27,f,Korean ,
farsi 39 ,prothesis ,sl,2,slabs,[k],9,9,27,f,Korean ,
farsi 39 ,none,bl,3,blue,[v],9,9,27,f,Korean ,
farsi 39 ,none,sn,1,snack ,[ə],9,9,27,f,Korean ,
farsi 39 ,none,br,3,brother,[ɚ],9,9,27,f,Korean ,
farsi 39 ,none,sm,1,small,[ə],9,9,27,f,Korean ,
farsi 39 ,none,pl,3,plastic ,[l],9,9,27,f,Korean ,
farsi 39 ,prothesis ,sn,1,snake,[k],9,9,27,f,Korean ,
farsi 39 ,none,fr,2,frog ,[ɔɪ],9,9,27,f,Korean ,
farsi 39 ,prothesis ,sc,-1,scoop,[n],9,9,27,f,Korean ,
farsi 39 ,none,θr,2,three ,[u],9,9,27,f,Korean ,
farsi 39 ,none,tr,3,train,[ə],9,9,27,f,Korean ,
farsi 39 ,prothesis,st,-1,station,[n] ,9,9,27,f,Korean ,
